Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Date
xQcOW,6196161750,215250,222720,27716,3246298,1734810,93036735,TRUE,FALSE,English,2014-09-12 23:50
summit1g,6091677300,211845,310998,25610,5310163,1370184,89705964,TRUE,FALSE,English,2011-12-01 6:33
Gaules,5644590915,515280,387315,10976,1767635,1023779,102611607,TRUE,TRUE,Portuguese,2017-11-09 14:10
ESL_CSGO,3970318140,517740,300575,7714,3944850,703986,106546942,TRUE,FALSE,English,2012-06-11 13:36
Tfue,3671000070,123660,285644,29602,8938903,2068424,78998587,TRUE,FALSE,English,2014-04-02 3:57
Asmongold,3668799075,82260,263720,42414,1563438,554201,61715781,TRUE,FALSE,English,2011-11-20 10:39
NICKMERCS,3360675195,136275,115633,24181,4074287,1089824,46084211,TRUE,FALSE,English,2010-09-13 5:01
Fextralife,3301867485,147885,68795,18985,508816,425468,670137548,TRUE,FALSE,English,2017-05-07 0:21
loltyler1,2928356940,122490,89387,22381,3530767,951730,51349926,TRUE,FALSE,English,2013-11-14 0:27
Anomaly,2865429915,92880,125408,12377,2607076,1532689,36350662,TRUE,FALSE,English,2014-12-04 3:13
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,TRUE,TRUE,English,2012-10-08 18:13
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,TRUE,FALSE,English,2011-06-27 18:34
riotgames,2674646715,80820,639375,20960,4487489,497678,56855694,TRUE,FALSE,English,2012-09-08 6:53
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,TRUE,FALSE,Spanish,2013-01-12 18:46
auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,TRUE,FALSE,Spanish,2019-09-03 14:02
MontanaBlack88,2408460990,67740,181600,33514,2911316,1101093,37189666,TRUE,TRUE,German,2013-06-21 23:14
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,TRUE,TRUE,English,2011-11-22 4:40
hanryang1125,2186662470,181230,26999,12201,494445,92205,34405975,TRUE,FALSE,Korean,2015-10-06 20:17
alanzoka,2055003870,103770,89153,19560,3445134,1325075,46515698,TRUE,FALSE,Portuguese,2012-12-05 20:26
CohhCarnage,2029212570,175230,43615,11343,1264808,124242,38718674,TRUE,FALSE,English,2011-12-06 18:20
Lord_Kebun,1943299035,153720,34830,12367,434200,137215,19645967,TRUE,FALSE,English,2017-07-10 4:56
LCK_Korea,1916365860,47325,140557,39848,619382,255088,76225485,TRUE,FALSE,Korean,2018-01-15 1:40
Castro_1021,1845157080,100215,125133,17779,2411995,550678,22672980,TRUE,FALSE,English,2013-11-24 8:42
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,TRUE,FALSE,English,2010-11-02 15:32
TheRealKnossi,1811696100,56010,288459,24595,1260160,1082039,25342894,TRUE,TRUE,German,2014-09-20 14:06
TheGrefg,1757406750,54855,538444,28887,3795667,3593081,47094362,TRUE,FALSE,Spanish,2013-09-12 0:45
YoDa,1690237110,135675,123796,12868,1792625,383130,38499423,TRUE,FALSE,Portuguese,2013-08-03 21:06
Pestily,1659741015,138300,168112,8481,616168,520342,24029726,TRUE,FALSE,English,2015-11-03 8:34
handongsuk,1621667925,127815,44976,12869,385250,73602,30610352,TRUE,FALSE,Korean,2016-11-14 0:57
GamesDoneQuick,1619144100,87450,234826,6734,1724316,113469,43345080,TRUE,FALSE,English,2011-05-20 18:19
Solary,1546597380,486510,24470,3187,493207,143569,48799554,TRUE,FALSE,French,2017-09-21 12:16
Gotaga,1538511315,141675,81644,10750,2401580,632118,39591707,TRUE,FALSE,French,2011-08-17 9:26
MOONMOON,1527882945,124680,24892,11220,923448,95776,13505898,TRUE,TRUE,English,2016-04-06 4:12
DrLupo,1517612010,172350,90696,8311,4115083,567795,47295386,TRUE,FALSE,English,2012-04-16 15:13
OgamingLoL,1483207890,496950,204491,3020,523758,115965,71583995,TRUE,FALSE,French,2014-09-24 14:59
Myth,1479214575,134760,122552,9396,6726893,1421811,37384058,TRUE,FALSE,English,2015-12-27 19:23
Evelone192,1474742220,83010,106900,16422,1075101,826433,47400543,TRUE,FALSE,Russian,2013-01-18 7:41
nl_Kripp,1470897720,155895,29316,9256,1379123,96793,20034033,TRUE,FALSE,English,2012-04-15 2:25
LEC,1470431925,45660,305119,28830,973727,551345,25924096,TRUE,FALSE,English,2016-05-16 18:00
dota2mc_ru,1464683175,66675,182869,19495,428284,156721,38774178,TRUE,FALSE,Russian,2018-04-12 14:50
Fresh,1464179820,147660,57431,9728,3135667,1875187,25341820,TRUE,FALSE,English,2012-12-19 5:42
LCS,1461310140,31125,214124,46459,1162746,526244,28313058,TRUE,FALSE,English,2016-05-16 17:34
ROSHTEIN,1435735725,118995,45843,11717,381918,242369,17836875,FALSE,TRUE,English,2014-10-06 10:15
ibai,1412913285,57795,173238,22837,1894953,1602088,44178173,TRUE,FALSE,Spanish,2015-02-20 16:47
TFBlade,1394312895,141285,35833,9117,1008040,450146,35978104,TRUE,FALSE,English,2014-03-21 1:49
Sardoche,1361024835,164235,144066,8066,746865,370358,32261961,TRUE,TRUE,French,2013-10-28 17:02
LCK,1351758525,37140,171861,36030,934688,307853,28970100,TRUE,FALSE,English,2016-05-16 18:35
Yassuo,1347412425,103905,70587,10531,1878416,689957,32362117,TRUE,FALSE,English,2016-04-08 1:19
HasanAbi,1339344945,193560,44649,6543,470123,340810,14154952,TRUE,FALSE,English,2018-03-23 20:06
BeyondTheSummit,1339097490,505080,116547,2635,923689,114948,42403593,TRUE,FALSE,English,2012-04-07 4:16
Dota2RuHub,1330625430,92160,105359,13189,777510,126221,43831479,TRUE,FALSE,Russian,2015-08-28 9:10
Bugha,1324519320,100470,66311,12982,2942212,2220765,49441744,TRUE,FALSE,English,2015-02-13 3:39
RocketLeague,1322448480,33540,206681,36086,1409120,412101,57189129,TRUE,FALSE,English,2014-02-26 16:42
csgomc_ru,1308967860,77955,364816,17020,492954,447601,42952835,TRUE,FALSE,Russian,2018-04-12 14:47
Clix,1256647110,89760,81926,12996,2035180,1687923,33286370,TRUE,FALSE,English,2018-06-22 14:48
Gorgc,1252711830,141135,56449,8683,391726,136943,20882507,TRUE,TRUE,English,2015-11-29 3:47
saddummy,1241997345,182310,25482,6681,580794,97615,30550147,TRUE,FALSE,Korean,2012-05-29 22:00
NoWay4u_Sir,1234567245,139920,24286,8479,383892,108832,23037239,TRUE,FALSE,German,2015-03-16 0:53
RiotGamesBrazil,1228613130,38370,255542,25918,1011924,325801,33796768,TRUE,FALSE,Portuguese,2012-09-28 22:31
JLTomy,1228169940,121455,42079,10053,428073,277529,13890640,TRUE,FALSE,French,2017-05-03 7:23
SolaryFortnite,1223349555,381735,46710,3180,1478270,447191,26737542,TRUE,FALSE,French,2018-02-26 10:26
ONSCREEN,1197130335,134880,88516,4134,918654,669348,22820310,TRUE,FALSE,English,2011-12-30 19:30
AdmiralBahroo,1188645990,141210,21053,8152,778055,72454,12853095,TRUE,FALSE,English,2013-03-04 8:13
Quin69,1186941750,174270,36742,6616,538532,87860,19512632,TRUE,TRUE,English,2014-02-12 11:14
Trymacs,1184154975,107880,50957,10735,1607134,582089,21254933,TRUE,FALSE,German,2014-06-14 12:17
dasMEHDI,1172969025,231465,47683,5013,299048,76568,7422911,TRUE,TRUE,English,2012-06-23 2:19
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,TRUE,FALSE,English,2011-09-02 23:16
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,TRUE,FALSE,English,2013-06-06 20:52
fps_shaka,1131509385,215160,26572,5195,303671,128907,21331882,TRUE,FALSE,Japanese,2013-09-19 13:21
LVPes,1115650275,90960,233009,12947,587677,158934,51523747,TRUE,FALSE,Spanish,2011-05-11 10:25
Vader,1110952500,184305,16289,5913,424374,57681,11535871,TRUE,TRUE,English,2014-08-23 22:43
